id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1460326032075108352,1460326032075108352,2021-11-15 14:17:12 EST,2021-11-15,14:17:12,-0500,2994027541,tomatazoscom,@TomatazosCom,,"OFICIAL: Vean el primer teaser de #Halo, la serie live-action de @paramountplus ➡️ https://t.co/xRdU33Btj2😱  Master Chief se prepara para la batalla.  https://t.co/N04PDprNkp",es,"[{'screen_name': 'paramountplus', 'name': 'paramount+', 'id': '922928836836130816'}]",['https://bit.ly/3nf7b9s'],['https://pbs.twimg.com/tweet_video_thumb/FEQeoSJXIAA8DII.jpg'],0,0,2,['halo'],[],https://twitter.com/TomatazosCom/status/1460326032075108352,False,,1,https://pbs.twimg.com/tweet_video_thumb/FEQeoSJXIAA8DII.jpg,,,,,,,[],,,,
1460326005114118145,1460315461044736004,2021-11-15 14:17:05 EST,2021-11-15,14:17:05,-0500,3409064500,rainbowpushups,RainbowPushups,,@Xbox I woke up having a “meh” type of day. You just flipped this around. #Halo #Xbox20 #xbox #gaming,en,[],[],[],0,0,0,"['halo', 'xbox20', 'xbox', 'gaming']",[],https://twitter.com/RainbowPushups/status/1460326005114118145,False,,0,,,,,,,,"[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': '24742040'}]",,,,
1460325952773316609,1460314697979154434,2021-11-15 14:16:53 EST,2021-11-15,14:16:53,-0500,829444464682860544,ghostsierra117,GhostSierra117,,@Halo Found a solution: deinstall the 200-something MB Halo Infinite Multiplayer. Then go to the store and redownload it. It should start a 26ish GB download  #HaloInfinite #Halo20 #halo #Xbox20,en,[],[],[],0,0,2,"['haloinfinite', 'halo20', 'halo', 'xbox20']",[],https://twitter.com/GhostSierra117/status/1460325952773316609,False,,0,,,,,,,,"[{'screen_name': 'Halo', 'name': 'Halo', 'id': '59414975'}]",,,,
1460325864596512776,1460325864596512776,2021-11-15 14:16:32 EST,2021-11-15,14:16:32,-0500,1351755208909582338,rockcineycomics,"Rock, Cine y Cómics",,#PáseleAVer el primer avance de la serie de #Halo que llegará a las pantallas de @ParamountPlusLA en 2022   https://t.co/JsVZDzzLUT,es,"[{'screen_name': 'paramountplusla', 'name': 'paramount+ latinoamérica', 'id': '2806002408'}]",[],[],0,1,2,"['páseleaver', 'halo']",[],https://twitter.com/RockCineyComics/status/1460325864596512776,False,,1,https://pbs.twimg.com/media/FEDI0_KVUAQUgEW.jpg,,,,,,,[],,,,
1460325860481794050,1460316859715100675,2021-11-15 14:16:31 EST,2021-11-15,14:16:31,-0500,1331554584108572673,kennedy69leon,ResidentEvil/biohazard/Christian/DevilMayCry,,@Unyshek thank you downloading love #Halo,en,[],[],[],0,0,0,['halo'],[],https://twitter.com/Kennedy69Leon/status/1460325860481794050,False,,0,,,,,,,,"[{'screen_name': 'Unyshek', 'name': 'John Junyszek', 'id': '292133321'}]",,,,
1460325859483697160,1460325859483697160,2021-11-15 14:16:31 EST,2021-11-15,14:16:31,-0500,1387847322487377929,autark1s,Autarkis,,"@Xbox @XboxSupport I'm struggling to find the Halo Infinite Multiplayer in the Xbox store to install it, all I can find us the pre-install for the full game. Can you point this new Spartan in the right direction please? #Xbox20 #Xbox #Halo #HaloInfinite #HaloInfiniteMP  https://t.co/76xLXBFjYD",en,"[{'screen_name': 'xboxsupport', 'name': 'xbox support', 'id': '59804598'}]",[],['https://pbs.twimg.com/tweet_video_thumb/FEQeoDAXEAcdoXb.jpg'],0,0,0,"['xbox20', 'xbox', 'halo', 'haloinfinite', 'haloinfinitemp']",[],https://twitter.com/Autark1s/status/1460325859483697160,False,,1,https://pbs.twimg.com/tweet_video_thumb/FEQeoDAXEAcdoXb.jpg,,,,,,,[],,,,
1460325854819622921,1460325854819622921,2021-11-15 14:16:29 EST,2021-11-15,14:16:29,-0500,418434768,dusty_af,dusty AF,,See y’all in 30 #halo  https://t.co/6xjpUiztoq,en,[],[],['https://pbs.twimg.com/media/FEQen5aWUA0Qdsp.jpg'],0,0,0,['halo'],[],https://twitter.com/dusty_af/status/1460325854819622921,False,,1,https://pbs.twimg.com/media/FEQen5aWUA0Qdsp.jpg,,,,,,,[],,,,
1460325803128938502,1460325803128938502,2021-11-15 14:16:17 EST,2021-11-15,14:16:17,-0500,981153022213419008,tehmondspartan,MondySpartan117,,"No matter which game you’re on, Halo remains there as a special place in your heart. #Halo #Halo20 #Xbox20  https://t.co/aXhXMNVD1Y",en,[],[],['https://pbs.twimg.com/media/FEQeSdxUcA4-8wS.jpg'],0,0,1,"['halo', 'halo20', 'xbox20']",[],https://twitter.com/tehmondspartan/status/1460325803128938502,False,,1,https://pbs.twimg.com/media/FEQeSdxUcA4-8wS.jpg,,,,,,,[],,,,
1460325785210863618,1460325785210863618,2021-11-15 14:16:13 EST,2021-11-15,14:16:13,-0500,998237502,joshua_wareham,Joshua Wareham,,I think this arrived just in time for today 😏❤   #HaloInfiniteMP #Halo #Xbox20  https://t.co/d77mTTBF19,en,[],[],['https://pbs.twimg.com/media/FEQej1hXoAMiFy9.jpg'],2,0,5,"['haloinfinitemp', 'halo', 'xbox20']",[],https://twitter.com/Joshua_Wareham/status/1460325785210863618,False,,1,https://pbs.twimg.com/media/FEQej1hXoAMiFy9.jpg,,,,,,,[],,,,
1460325774024658946,1460325774024658946,2021-11-15 14:16:10 EST,2021-11-15,14:16:10,-0500,20632528,michaelausiello,Michael Ausiello,,"First #Halo Teaser for Paramount+ Series Reveals Master Chief, Scars and All  https://t.co/ejX2c9BtHq",en,[],['https://tvline.com/2021/11/15/halo-teaser-paramount-plus-tv-series/'],[],0,0,9,['halo'],[],https://twitter.com/MichaelAusiello/status/1460325774024658946,False,,0,,,,,,,,[],,,,
1460325723592400896,1460325723592400896,2021-11-15 14:15:58 EST,2021-11-15,14:15:58,-0500,912667564391718912,silentgrom,SilentGrom,,Downloading Halo infinite multiplayer now on Xbox!! Soooo excited! let’s Goooo! #halo #HaloInfiniteMP,en,[],[],[],1,0,1,"['halo', 'haloinfinitemp']",[],https://twitter.com/SilentGrom/status/1460325723592400896,False,,0,,,,,,,,[],,,,
1460325723181400070,1460325723181400070,2021-11-15 14:15:58 EST,2021-11-15,14:15:58,-0500,955310596450287617,blueberrypoot,☁️BlueberryPoot,,I need a weapon. #halo #nerfblaster #Xbox20  https://t.co/3JNnHl8w98,en,[],[],"['https://pbs.twimg.com/media/FEQebknWQAQXhdL.jpg', 'https://pbs.twimg.com/media/FEQec9gWUAEBYrM.jpg']",0,0,0,"['halo', 'nerfblaster', 'xbox20']",[],https://twitter.com/BlueberryPoot/status/1460325723181400070,False,,1,https://pbs.twimg.com/media/FEQebknWQAQXhdL.jpg,,,,,,,[],,,,
1460325690276995077,1460318857558573058,2021-11-15 14:15:50 EST,2021-11-15,14:15:50,-0500,2543656170,vada_da_arbiter,Vada,,@majornelson @XboxP3 @Halo #HaloInfiniteMP #HaloInfinite #Halo #Halo20 #Xbox20 #Xbox  https://t.co/eqKgMUhD0r,und,[],[],['https://pbs.twimg.com/media/FEQeeeNXsA0Kl-v.jpg'],0,0,0,"['haloinfinitemp', 'haloinfinite', 'halo', 'halo20', 'xbox20', 'xbox']",[],https://twitter.com/Vada_da_arbiter/status/1460325690276995077,False,,1,https://pbs.twimg.com/media/FEQeeeNXsA0Kl-v.jpg,,,,,,,"[{'screen_name': 'majornelson', 'name': 'Larry Hryb ☁', 'id': '15913'}, {'screen_name': 'XboxP3', 'name': 'Phil Spencer', 'id': '532406707'}, {'screen_name': 'Halo', 'name': 'Halo', 'id': '59414975'}]",,,,
